work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,Excutive-level,Full-time,Analytics Engineer,150000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Analyst,216200,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Analyst,144100,US,On-site,US,Medium
2022,Medium-level,Full-time,Data Scientist,116941,NL,On-site,NL,Medium
2022,Medium-level,Full-time,Data Scientist,90364,NL,On-site,NL,Medium
2022,Senior-level,Full-time,ETL Developer,250000,US,On-site,US,Medium
2022,Senior-level,Full-time,ETL Developer,63000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,135000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,85000,US,Remote,US,Medium
2022,Senior-level,Full-time,Machine Learning Engineer,135000,US,Remote,US,Medium
2022,Senior-level,Full-time,Machine Learning Engineer,85000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Science Manager,206000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Science Manager,175100,US,Remote,US,Medium
2022,Senior-level,Full-time,Machine Learning Engineer,189650,US,On-site,US,Medium
2022,Senior-level,Full-time,Machine Learning Engineer,164996,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Architect,149040,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Architect,113900,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,154000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,126000,US,Remote,US,Medium
2022,Senior-level,Full-time,Machine Learning Engineer,200000,US,Remote,US,Large
2022,Senior-level,Full-time,Machine Learning Engineer,150000,US,Remote,US,Large
2022,Senior-level,Full-time,Data Engineer,195700,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,130500,US,On-site,US,Medium
2022,Senior-level,Full-time,Analytics Engineer,170000,US,Remote,US,Medium
2022,Senior-level,Full-time,Analytics Engineer,135000,US,Remote,US,Medium
2022,Medium-level,Full-time,Data Engineer,100433,GB,On-site,GB,Medium
2022,Medium-level,Full-time,Data Engineer,75324,GB,On-site,GB,Medium
2022,Senior-level,Full-time,Data Analyst,117000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Analyst,99450,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,200000,PR,Remote,PR,Medium
